X,Y,FID,OPS_PLAN_I,INCIDENT_N,PLAN_NAME,INCIDENTNU,INCIDENTNA,REGION,DISTRICT,RESERVE,FINANCIALY,SEASON,OBJECTIVE_,TREATED_AR,AREA_DRAWN,UNBOUNDED,OPERATIONS,OPS_STATUS,PUBLIC_INF,INCIDENT_C,FIREYEAR,GLOBALID,Shape_Leng,Shape_Area
138.708327903325,-34.8995287627972,27,559,452,Ops Plan 1,452,Morialta (Rocky Hill Walking Trail),Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Morialta (CP),2019/2020,AUTUMN,7.1,0,0,0, ,Operations Plan Withdrawn, , ,2020,{02171FCC-D457-486C-8E52-A035E682A3B2},0.0123258112606,7.05760492201e-06
138.782851185433,-34.9424488645641,28,703,529,Ops Plan 1,529,Forest Range - Lobethal Road,Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Private Land,2019/2020,AUTUMN,6.7,0,6.7,0,DSNOWBALL,Operations Plan Postponed, ,SPARKER1,2020,{BE51D892-7A2E-4556-A978-AF5EC08CBB5C},0.0165831341972,6.63574142699e-06
135.777397444234,-34.7952140603666,29,849,596,Ops Plan 1,596,Central Eastern Boundary Track,Eyre Peninsula,Southern,Lincoln Basin,2019/2020,AUTUMN,163.7,0,161.2,0,PWILKINS,Operations Plan Postponed, , ,2020,{51E248FC-1559-410B-AC06-F5FFC973F78F},0.0804199544046,0.000159105556657
140.32823884618,-35.8255374575297,30,785,576,Ops Plan 1,576,Mt Rescue Block Nth,South Australian Murray-Darling Basin,Mallee and Coorong,Ngarkat (CP),2019/2020,AUTUMN,428.2,0,726.6,1,RPUDNEY,Operations Plan Retired,Completed,JPIPPOS,2020,{8521B570-F89C-45C9-85DD-95A51975A450},0.280889975398,0.000724989945572
138.238122798759,-35.6028841239606,31,939,611,Ops Plan 2,611,Deep Creek (Stringybark Campsite) B2,Adelaide & Mt Lofty Ranges,Fleurieu and Willunga Basin,Deep Creek (CP),2020/2021,SPRING,1.3,0,1.9,0, ,New Operations Plan, , ,2020,{5740BDDD-34CF-4ADE-80F4-8DF932B15338},0.0212731176358,1.89690062595e-06
138.84549029306,-34.6554632545729,32,708,494,Ops Plan 2,494,Track 6,Adelaide & Mt Lofty Ranges,Northern Hills Coast and Plains,Barossa Reservoir Reserve,2019/2020,AUTUMN,44,0,44,0, ,Operations Plan Withdrawn, , ,2020,{93F6D7D9-745C-4FE4-AACB-081F32B5383D},0.0352190759088,4.33537904192e-05
138.833711328177,-34.69298802674,33,895,624,Ops Plan 1,624,Para Wirra (Wirra Campground) B2,Adelaide & Mt Lofty Ranges,Northern Hills Coast and Plains,Para Wirra (CP),2020/2021,SPRING,45.9,0,45.9,0, ,New Operations Plan, , ,2020,{24ADC1AA-7938-4792-AFE1-2B146509F78C},0.035268605732,4.52491448789e-05
138.735700513773,-34.8238252449843,34,912,122,Ops Plan 2,122,Anstey Hill (North East Road) S20 B3,Adelaide & Mt Lofty Ranges,Northern Hills Coast and Plains,Anstey Hill (RP),2019/2020,AUTUMN,0.8,0,0.8,0,THOWARD,Operations Plan Postponed, , ,2020,{DBBD7BB3-D1CF-467B-8155-6AED751B8272},0.00392986271157,7.74406028627e-07
140.065096551493,-35.6462507648682,35,930,460,Ops Plan 2,460,Carcuma Block W-E,South East,Upper South East,Carcuma CP & Private - HA924/923/104,2019/2020,AUTUMN,340.3,0,370.9,0,EMAPLETOFT,Operations Plan Retired, ,JPIPPOS,2020,{BD186D6B-431A-4A37-B09B-6A5185FFF1DB},0.173946870173,0.00036945106218
138.591877106436,-34.9401665968002,36,1059,722,Ops Plan 1,722,Adelaide - Southern Parklands (council land),Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Adelaide Park Lands,2019/2020,AUTUMN,0.7,0,0.6,0, ,Operations Plan Withdrawn, , ,2020,{3F8A5399-F8ED-469D-9144-13A64F62DCC7},0.00292667143575,5.61883467042e-07
138.746437228038,-34.9527829405453,37,1117,601,Ops Plan 2,601,Uraidla - Elborough Ave Part 2 (Private Land),Adelaide & Mt Lofty Ranges,Adelaide and Central Hills,Private Land,2020/2021,SPRING,3.5,0,3.5,0,NBASTIAN,New Operations Plan, ,TGGROVES,2020,{54F4873B-803B-44B7-B04E-593EC621D96F},0.00770614457468,3.42348110807e-06
